Year,Month,M1B1,M1B2,M1B3,M2B1,M2B2,M2B3
1926,July,1.0866,0.8807,-0.1275,5.5746,1.906,2.0068
1926,August,0.7831,1.4677,5.4422,2.7268,2.7028,5.6834
1926,September,-2.8045,-0.0599,-0.4399,1.4777,0.0954,-0.7872
1926,October,-4.0289,-4.3615,-2.0128,-3.6327,-2.3451,-4.004
1926,November,3.2971,3.6237,2.0877,3.212,2.9346,3.1964
1926,December,2.5645,1.7773,3.27,2.9011,2.621,2.3073
1927,January,-0.8099,-0.2885,3.9875,-0.2624,0.034,4.092
1927,February,3.9809,6.3754,6.4416,5.0212,3.5906,7.9905
1927,March,-2.2271,-1.0076,-3.1144,1.2856,0.2556,-2.5905
1927,April,-1.3839,0.8706,3.4837,3.0757,-0.7711,-0.4894
1927,May,5.4624,3.3109,13.4556,5.4126,5.1423,7.0141
1927,June,-1.7163,1.3233,-4.089,-0.9667,-3.0033,-2.0282
1927,July,4.2604,5.2595,4.0181,9.2715,6.8071,7.2634
1927,August,2.4876,-2.3003,0.7332,4.0055,1.1524,-1.9351
1927,September,2.2005,2.2367,0.3714,5.2451,4.4202,5.9339
1927,October,-0.2054,-2.1686,-6.0935,-3.5692,-4.3578,-6.6283
1927,November,10.2824,7.9528,10.4641,6.9718,6.7451,6.6385
1927,December,5.6729,2.665,2.4534,2.501,1.8708,3.4734
1928,January,3.1432,2.6832,3.6043,-0.4407,-0.4021,-2.3184
1928,February,-4.8779,-1.7699,-4.1263,-0.675,-1.2169,-2.7041
1928,March,6.9742,8.6296,9.4431,12.363,6.1449,7.6792
1928,April,5.0264,10.7789,9.9758,2.9356,5.9428,4.4954
1928,May,6.6955,1.9725,2.6118,2.5704,-0.0445,0.6499
1928,June,-9.1736,-8.5169,-6.799,-3.6356,-4.1275,-5.4462
1928,July,-0.4122,-0.3806,-0.9736,1.3622,0.1242,0.8343
1928,August,6.1265,5.0112,3.7666,8.7594,5.4024,6.8627
1928,September,5.7391,4.4691,6.1849,3.0057,1.9523,4.2356
1928,October,6.8433,3.1403,1.6663,1.3103,1.4,2.2058
1928,November,8.6693,11.1459,12.1856,11.1696,13.3449,12.9533
1928,December,0.675,-0.7061,-0.5797,0.9715,0.025,1.1951
1929,January,0.2541,1.9011,1.7793,6.5315,4.8675,2.5744
1929,February,0.7412,1.1291,0.3953,-0.5723,0.7548,3.0873
1929,March,-6.2168,-3.3714,-4.3437,-1.3904,2.3223,-0.1211
1929,April,-0.6478,2.7887,0.7306,2.3256,1.0882,2.8092
1929,May,-10.2271,-9.4383,-12.8944,-5.8502,-4.1635,-6.2167
1929,June,6.8989,9.5386,6.456,12.4699,9.3942,7.4366
1929,July,-0.0599,-0.5054,3.8676,3.6533,6.1852,5.0609
1929,August,-1.1159,-0.6976,-0.4807,7.2212,12.5055,7.2167
1929,September,-3.9326,-4.2674,-3.607,-4.4757,-4.9772,-6.3774
1929,October,-22.9979,-19.6471,-21.2218,-23.8688,-14.5837,-10.5728
1929,November,-14.6084,-9.5797,-10.9661,-14.2521,-10.4563,-7.7931
1929,December,-2.7372,-3.1726,-1.1822,3.2379,0.5554,1.4058
1930,January,6.0309,9.5193,8.4726,7.3577,3.3456,2.8546
1930,February,1.7589,1.0717,4.5687,3.4688,1.8817,1.2148
1930,March,8.6803,11.3312,10.6873,6.7576,8.4208,5.3549
1930,April,-7.096,-1.2542,-3.4819,-2.338,-1.762,-6.6843
1930,May,-3.614,-2.6937,-2.9869,0.7015,-2.2797,-1.4025
1930,June,-17.9836,-16.4522,-19.0393,-17.6952,-13.1636,-11.8401
1930,July,6.5234,3.6401,2.5703,4.7126,3.5511,5.2714
1930,August,-3.7811,-1.6347,-2.321,1.0212,-0.6697,-1.6172
1930,September,-13.787,-14.7431,-19.5014,-12.6858,-10.9676,-17.1584
1930,October,-10.4837,-7.7113,-10.4086,-9.2327,-7.2966,-11.4885
