Year,Month,Mkt-RF,SMB,HML,RF
1926,July,2.89,-2.55,-2.39,0.22
1926,August,2.64,-1.14,3.81,0.25
1926,September,0.38,-1.36,0.05,0.23
1926,October,-3.27,-0.14,0.82,0.32
1926,November,2.54,-0.11,-0.61,0.31
1926,December,2.62,-0.07,0.06,0.28
1927,January,-0.05,-0.32,4.58,0.25
1927,February,4.17,0.07,2.72,0.26
1927,March,0.14,-1.77,-2.38,0.3
1927,April,0.47,0.39,0.65,0.25
1927,May,5.45,1.55,4.8,0.3
1927,June,-2.38,0.51,-1.72,0.26
1927,July,7.26,-3.27,-1.13,0.3
1927,August,1.99,-0.77,-3.85,0.28
1927,September,4.77,-3.6,-0.57,0.21
1927,October,-4.29,2.03,-4.47,0.25
1927,November,6.52,2.78,-0.08,0.21
1927,December,2.09,0.98,-1.12,0.22
1928,January,-0.57,4.2,-0.71,0.25
1928,February,-1.69,-2.06,-0.64,0.33
1928,March,8.79,-0.38,-1.11,0.29
1928,April,4.25,4.14,3.25,0.22
1928,May,1.52,2.7,-3,0.32
1928,June,-4.9,-3.76,0.28,0.31
1928,July,0.63,-1.36,-0.54,0.32
1928,August,6.69,-2.04,-2.13,0.32
1928,September,2.87,2.4,0.84,0.27
1928,October,1.31,2.24,-2.14,0.41
1928,November,11.82,-1.82,2.65,0.38
1928,December,0.4,-0.93,-0.52,0.06
1929,January,4.66,-3.35,-1.22,0.34
1929,February,-0.34,-0.33,1.66,0.36
1929,March,-0.85,-4.91,1.57,0.34
1929,April,1.47,-1.12,0.93,0.36
1929,May,-6.38,-5.44,-1.52,0.44
1929,June,9.7,-2.14,-2.74,0.52
1929,July,4.48,-3.87,2.67,0.33
1929,August,8.14,-9.75,0.32,0.4
1929,September,-5.45,1.34,-0.79,0.35
1929,October,-20.07,-4.95,7.54,0.46
1929,November,-12.87,-0.88,5.05,0.37
1929,December,1.28,-4.1,-0.14,0.37
1930,January,5.61,3.49,-1.03,0.14
1930,February,2.5,0.28,0.28,0.3
1930,March,7.09,3.39,0.3,0.35
1930,April,-2.05,-0.35,-0.37,0.21
1930,May,-1.66,-2.1,-0.74,0.26
1930,June,-16.08,-3.59,2.4,0.27
1930,July,4.12,-0.27,-1.7,0.2
1930,August,0.3,-2.16,-0.59,0.09
1930,September,-12.81,-2.41,-5.09,0.22
1930,October,-8.78,-0.2,-1.09,0.09
1930,November,-3.04,2.46,-3.81,0.13
1930,December,-7.86,-4.67,-5.69,0.14
1931,January,6.25,3.47,8.24,0.15
1931,February,10.88,3.45,1.63,0.04
1931,March,-6.35,2.83,-3.2,0.13
1931,April,-10,-4.22,-4.33,0.08
1931,May,-13.29,5.22,-6.31,0.09
1931,June,13.93,-5.01,11.7,0.08
1931,July,-6.63,1.49,-2.2,0.06
1931,August,0.4,-2.08,-1.7,0.03
1931,September,-28.74,-1.02,-7.24,0.03
1931,October,7.99,-0.28,3.12,0.1
1931,November,-9.14,4.4,-5.19,0.17
1931,December,-13.52,-0.87,-9.19,0.12
1932,January,-1.57,4.41,9.74,0.23
1932,February,5.45,-2.51,-1.47,0.23
1932,March,-11.3,2.13,-2.2,0.16
1932,April,-17.94,0.93,2.07,0.11
1932,May,-20.51,4.21,-4.08,0.06
1932,June,-0.77,0.4,5.85,0.02
1932,July,33.61,-4.29,35.52,0.02
1932,August,37.12,13.46,34.2,0.03
1932,September,-2.94,-2.15,-7.37,0.03
1932,October,-13.15,-2.59,-10.47,0.02
1932,November,-5.88,1.83,-13.19,0.02
1932,December,4.42,-8.3,-7.54,0.01
1933,January,1.24,0.73,6.46,0.01
1933,February,-15.29,-2.63,-2.92,-0.03
1933,March,3.06,3.6,7.09,0.04
1933,April,38.81,3.02,20.1,0.1
1933,May,21.43,35.96,18.66,0.04
1933,June,13.1,8.65,-1.64,0.02
1933,July,-9.64,-1.06,3.3,0.02
1933,August,12.04,-5.16,3.05,0.03
1933,September,-10.65,-0.58,-11.71,0.02
1933,October,-8.36,-0.07,-8.49,0.01
1933,November,9.97,-6.37,2.27,0.02
1933,December,1.82,0.36,-1.99,0.02
1934,January,12.6,13.21,16.2,0.05
1934,February,-2.51,5.05,1.86,0.02
1934,March,0.09,2.45,-2.59,0.02
1934,April,-1.79,2.73,-3.83,0.01
1934,May,-7.26,-0.31,-5.9,0.01
1934,June,2.71,-2.18,-2.85,0.01
1934,July,-10.94,-7.12,-10.76,0.01
1934,August,5.58,5.55,0.17,0.01
1934,September,-0.24,-1.5,-1.21,0.01
1934,October,-1.66,1.23,-5,0.01
1934,November,8.33,6.6,-2.14,0.01
1934,December,0.36,3.28,-3.16,0.01
1935,January,-3.46,0.96,-1.77,0.01
1935,February,-1.96,0.32,-7.48,0.02
1935,March,-3.71,-3.43,-5.03,0.01
1935,April,9.06,-1.58,4.37,0.01
1935,May,3.46,-3.2,2.45,0.01
1935,June,5.93,-2.53,-1.52,0.01
1935,July,7.54,2.02,6.58,0.01
1935,August,2.65,6.01,6.29,0.01
1935,September,2.62,1.55,-4.12,0.01
1935,October,7.03,2.67,-2.33,0.01
1935,November,4.87,4.65,12.2,0.02
1935,December,4.55,0.09,0.83,0.01
1936,January,6.89,5.6,10.95,0.01
1936,February,2.49,0.84,4.33,0.01
1936,March,0.96,0.69,-1.59,0.02
1936,April,-8.14,-5.99,-2.28,0.02
1936,May,5.19,0.89,2.55,0.02
1936,June,2.4,-3.22,-1.19,0.03
1936,July,6.68,1.07,2.53,0.01
1936,August,0.99,0.61,3.79,0.02
1936,September,0.97,3.12,0.94,0.01
1936,October,7.1,-2.35,2.51,0.02
1936,November,3.26,8.7,-1.25,0.01
1936,December,0.2,3.87,4.14,0
1937,January,3.35,4.49,2.78,0.01
1937,February,1.08,0.64,4.28,0.02
1937,March,-0.26,-1.25,7.04,0.01
1937,April,-7.36,-3.72,-3.46,0.03
1937,May,-0.83,-0.69,-3.46,0.06
1937,June,-4.23,-3.91,-3.12,0.03
1937,July,8.91,0.88,0.81,0.03
1937,August,-4.88,0.45,-2.25,0.02
1937,September,-13.62,-7,-4.55,0.04
1937,October,-9.59,0.45,-1.52,0.02
1937,November,-8.33,-3.56,0.22,0.02
1937,December,-4.29,-7.92,-0.47,0
1938,January,0.48,4.84,-1.53,0
1938,February,5.85,0.41,-1.97,0
1938,March,-23.91,-4.3,-3.63,-0.01
1938,April,14.48,6.4,0.45,0.01
1938,May,-3.86,-2.47,-0.24,0
1938,June,23.89,4.22,0.37,0
1938,July,7.33,6.69,2.28,-0.01
1938,August,-2.68,-2.48,-4.78,0
1938,September,0.83,-2.68,-1.7,0.02
1938,October,7.8,5.81,5.04,0.01
1938,November,-1.74,-2.55,-1.2,-0.06
1938,December,4.16,-1.81,0.54,0
1939,January,-5.97,-1.54,-3.92,-0.01
1939,February,3.51,0.61,2.92,0.01
1939,March,-12.03,-4.75,-8.27,-0.01
1939,April,-0.18,1.67,-0.3,0
1939,May,6.81,2.8,0.47,0.01
1939,June,-5.33,-1.09,-5.28,0.01
1939,July,10.22,4.18,0.13,0
1939,August,-6.68,-4.59,-2.47,-0.01
1939,September,16.89,20.57,21.76,0.01
1939,October,-0.53,-0.08,-4.79,0
1939,November,-3.65,-5.12,-6.3,0
1939,December,2.93,0.92,-4.19,0
1940,January,-2.41,0.23,-0.77,0
1940,February,1.44,2.52,-0.36,0
1940,March,2.05,1.24,-1.27,0
1940,April,0.22,3.99,-0.22,0
1940,May,-22,-6.62,-3.72,-0.02
1940,June,6.69,-2.32,4.88,0
1940,July,3.17,0.99,-0.75,0.01
1940,August,2.21,-0.18,0.55,-0.01
1940,September,2.39,3.2,-1.14,0
1940,October,3.03,0.33,4.65,0
1940,November,-1.65,1.98,0.16,0
1940,December,0.69,-2.12,-0.89,0
1941,January,-4.18,0.98,3.83,-0.01
1941,February,-1.43,-1.56,0.89,-0.01
1941,March,0.84,0.09,3.05,0.01
1941,April,-5.46,-1.67,3.41,-0.01
1941,May,1.37,-0.64,0.61,0
1941,June,5.83,1.31,0.61,0
1941,July,5.87,5.74,7.24,0.03
1941,August,-0.17,-0.43,-1.1,0.01
1941,September,-0.88,-0.98,-0.27,0.01
1941,October,-5.26,-2.07,1.63,0
1941,November,-1.95,-1.08,-0.6,0
1941,December,-4.88,-2.86,-5.94,0.01
1942,January,0.79,7.45,10.1,0.02
1942,February,-2.46,1.74,-1.15,0.01
1942,March,-6.6,1.87,-0.61,0.01
1942,April,-4.37,-0.44,2.09,0.01
1942,May,5.96,-3.2,-2.67,0.03
1942,June,2.68,-1.28,0.43,0.02
1942,July,3.51,-0.15,2.41,0.03
